id,label
u2521260264,bot
u2521267226,bot
u2521271036,bot
u2521301466,bot
u2521307095,bot
u2521308265,bot
u2521319899,bot
u2521320739,bot
u2521581654,bot
u2521742492,bot
u2521765370,bot
u2521810992,bot
u2521825020,bot
u2521853148,bot
u2521858484,bot
u2521879970,bot
u2521919077,bot
u2521920906,bot
u836253759940481024,bot
u907494763817050112,bot
u907501258105348096,bot
u907951975576342528,bot
u908289876512174082,bot
u925393117758582785,bot
u928999781959196672,bot
u929094544234201089,bot
u929099040477929472,bot
u929894596452257795,bot
u929957618717671424,bot
u931563481341579265,bot
u935537913244332033,bot
u935907755449204736,bot
u940428186537435136,bot
u943263531767447553,bot
u943319665631252482,bot
u943359045401968641,bot
u944688275939307522,bot
u944705342579118080,bot
u945372702218641408,bot
u945391642080694272,bot
u946205500001214464,bot
u946488385971085312,bot
u946489280150589444,bot
u946523477175164929,bot
u946912848659312640,bot
u946915329506234369,bot
u947037996334895105,bot
u947046345143209984,bot
u947086336468635648,bot
u947133407468941445,bot
u947204762063261701,bot
u947233286375567361,bot
u947257429477199872,bot
u947484347917111297,bot
u947501662129795073,bot
u947713810030387200,bot
u947739563325345793,bot
u947742685011632130,bot
u975469283257053185,bot
u975490210803978240,bot
u975673109083820032,bot
u975927258597724161,bot
u975945007008956418,bot
u976070577940258818,bot
u976819185241284608,bot
u977146161835495424,bot
u977182152851951616,bot
u977205959650103296,bot
u977378395112857601,bot
u977444793570811907,bot
u977473177935781888,bot
u977508020551868416,bot
u977526806898192385,bot
u977526850577612800,bot
u977675122541817861,bot
u977727246877126656,bot
u977730726471770112,bot
u977833892878192640,bot
u977834849984761856,bot
u977837181837471744,bot
u977870484934193152,bot
u977955500674428935,bot
u978083078139760640,bot
u978224756871892992,bot
u978242905503608832,bot
u978252687862059008,bot
u978276952174972928,bot
u978284655236603904,bot
u978285948587962369,bot
u978289780143345665,bot
u978391533014605824,bot
u978395203563393025,bot
u978515986545610752,bot
u978528715788443648,bot
u978559094138208256,bot
u978596534345502720,bot
u978601262148186113,bot
u978618911775248384,bot
u978667476148989955,bot
u978835745908625408,bot
u978837067554795520,bot
u978911522838609921,bot
u978917216405114880,bot
u978972408769138693,bot
u978989377379491840,bot
u979023763651080193,bot
u979092496709021696,bot
u979171937820860416,bot
u979178654721716225,bot
u979181394696916992,bot
u979208973961310208,bot
u979215778166771712,bot
